trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.19999999999999948, 'e': 0.15881742610692068}",20,9,-33.33894663003948,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.19999999999999948, 'e': 0.1556726303679973}",35,18,-20.074726807565206,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.19999999999999948, 'e': 0.15259010575688386}",25,16,-4.327719948871191,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.19999999999999948, 'e': 0.14956861922263504}",20,0,29.545771014253024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.19999999999999948, 'e': 0.14660696213035015}",20,12,1.1535425935541817,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.19999999999999948, 'e': 0.14370394977770293}",20,10,-22.558509156000195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.19999999999999948, 'e': 0.140858420921045}",25,20,10.61370583106269,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.19999999999999948, 'e': 0.13806923731089282}",20,2,-18.6877487280309,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.19999999999999948, 'e': 0.1353352832366127}",20,13,11.783393168575657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.19999999999999948, 'e': 0.13265546508012172}",20,6,15.093189820603877,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.19999999999999948, 'e': 0.1300287108784259}",20,16,4.357790787217565,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.19999999999999948, 'e': 0.12745396989482075}",20,14,-1.099928645979976,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.19999999999999948, 'e': 0.12493021219858241}",25,13,-15.534054453198344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.19999999999999948, 'e': 0.1224564282529819}",20,12,-20.805422910981648,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.19999999999999948, 'e': 0.12003162851145673}",20,0,28.85892095979714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.19999999999999948, 'e': 0.11765484302177918}",35,17,22.070642536798637,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.19999999999999948, 'e': 0.11532512103806251}",25,11,12.493089391491958,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.19999999999999948, 'e': 0.11304153064044985}",20,12,-38.74407791078854,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.19999999999999948, 'e': 0.11080315836233387}",20,9,2.8056750801176356,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.19999999999999948, 'e': 0.10860910882495796}",25,15,5.840312899745905,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.19999999999999948, 'e': 0.1064585043792528}",25,9,-27.159113797812633,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.19999999999999948, 'e': 0.104350484754765}",20,3,20.198614936654646,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.19999999999999948, 'e': 0.10228420671553744}",25,5,33.92817761185361,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.19999999999999948, 'e': 0.1002588437228037}",20,7,22.277089828139765,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.19999999999999948, 'e': 0.09827358560436154}",20,11,1.9236622074065848,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.19999999999999948, 'e': 0.09632763823049303}",20,3,13.27803865545684,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.19999999999999948, 'e': 0.09442022319630235}",20,0,32.491337414459096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.19999999999999948, 'e': 0.09255057751034329}",20,10,-24.705234494375535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.19999999999999948, 'e': 0.09071795328941251}",25,13,-30.54083819755594,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.19999999999999948, 'e': 0.08892161745938634}",30,24,10.375650127074472,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.19999999999999948, 'e': 0.0871608514619813}",25,18,12.147541598750276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.19999999999999948, 'e': 0.08543495096732123}",25,15,2.3010690411796864,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.19999999999999948, 'e': 0.08374322559219596}",30,18,17.497388649184924,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.19999999999999948, 'e': 0.0820849986238988}",20,15,10.070401215116547,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.19999999999999948, 'e': 0.08045960674953244}",20,0,28.028424507831208,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.19999999999999948, 'e': 0.07886639979067495}",30,15,24.813929624749232,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.19999999999999948, 'e': 0.07730474044329974}",25,15,16.48514224623237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.19999999999999948, 'e': 0.07577400402284548}",20,9,20.290796218037286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.19999999999999948, 'e': 0.07427357821433388}",20,8,15.76390007470299,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
